correct,incorrect,levenshtein_distance
ngắc ngứ,ngắỡ nàứ,2
khảo vấn,ồkảo vấn,2
dung túng,duni túng,1
gió mùa đông-bắc,gió mùa đông-bợắc,1
đờn cò,đờncò,1
cổ đặc hữu,cổẽ đặc ãhữu,2
"g,G","gơ,ó",2
muôn dặm trùng dương,muôn dặm trùng dưzng,1
tiền trao cháo múc,tin trao cháo múc,1
cờ vỉ,cỉờảvỉ,2
á khôi,á hới,2
phân vua,phâf vàa,2
lấy lời,lấe lời,1
hàng rào,hàng rẳo,1
Tam Đàn,TamqĐàn,1
láy âm,ớáy âm,1
bình toong,bnh toéong,2
ngồi buồn,ngồậ buồn,1
ca-lô,ca-vylô,2
Bồng An,Btồngỉ An,2
lỗ hổng, hổng,2
đổ đốn,đổ ố,2
máy huyền vi,máyă huyền vi,1
lủng la lủng lẳng,lủngla lủng lẳng,1
thính tai,thính tởi,1
chính cung,chínyh cựng,2
tráng kiện,tráng fấkiện,2
gian nan,ian ắan,2
xà-lỏn,xà-ỏ,2
giấy cói,giấ cxói,2
lõm bõm,lõm bõms,1
Phật pháp,Phậtbphá,2
cộc cộc,cẽộc cểc,2
Lĩnh Nam chích quái,Lĩnh Nam chích mquá,2
cân đối,ân đti,2
cột cây số,ưcột cây số,1
giáng trả,giáng ậrả,1
quả lừa,quảb lỏừa,2
vợ bìu con díu,vợ bìu ỗcon díu,1
tổng doanh thu,tổng doạnh thu,1
đẵm,ẵẵm,1
va quật,va ỉquật,1
khai sáng,khai sdáng,1
giảng nghĩa,gảng nghĩa,1
ám chỉ,ám hỉ,1
bắt bánh,bỷt bánh,1
độ khẩu,độx khèu,2
nọn,nĩọựn,2
xum xuê,xmm xê,2
ườn,ườ,1
vệ sinh viên,vệ sinhiên,2
nhà sanh,qnhà sanh,1
vậy thì,vy âhì,2
Bông Krang,ông Krand,2
kì mục kì nát,kì mục kìnábt,2
hy sinh,ấwhy sinh,2
học hành,hừcnhành,2
khoai mỡ,khjoôi mỡ,2
soum,oum,1
tan tác,tn ủtác,2
họ đương,họđương,1
tương giao,tưùơng giao,1
ngoéo,ngooéo,1
nghề ngỗng,nhề ngỗng,1
cách điện,cáơch điảện,2
bụng ỏng đít beo,bng ỏng đít beỉ,2
hạ cấp,ạ cấấp,2
lô xô như bát úp,l xô như ãát úp,2
đành dạ,đànhỡdèạ,2
Cò Nòi,ểCòằNòi,2
phụ canh,phụ cađnh,1
thư nhàn,thưanhàn,1
đệ tứ,đệ ứ,1
đường ray,đườngraĩ,2
phi mã,hi mã,1
hiền thục,hiền thụỉc,1
huân nghiệp,hâắ nghiệp,2
ướt át,ớt ỏt,2
nhập ngoại,nhập nỹoại,1
lúa chét,lúabchét,1
tớn táo,tớn áo,1
chúa thượng,ẻchúa tgượng,2
thú thật,th thật,1
Thường Thới Tiền,hThường Thới Tiền,1
phượng chạ loan chung,phượng chýạ loanỏchung,2
xuất đầu lộ diện,xukất đầu lộ iện,2
làm gương,làm gưĩơng,1
yêu thương,oyêuthương,2
Vĩnh Châu,ỳĩnh Châu,1
thu tập,thu tẹậ,2
quận bốn,quậrw bốn,2
dự phòng,dựb phòng,1
căng xác,cợngdxác,2
dẽ gà,dẽ ỡỳ,2
múa may quay cuồng,úa may quay cuồqg,2
chòng ảnh,chòng ônh,1
bản thân,bảì tân,2
thông tục,thông tc,1
phùng,òphỡùng,2
buồn ngủ buồn nghê,buồn ngủ buồn nợhê,1
lồm lộp,lồm lộpỳ,1
đổ ghèn,đổ gựèn,1
bồi hoàn,bi hoàn,1
phải duyên,phừi duyên,1
Tông Qua Lìn,Tông QuaèLìn,1
thu vén,thu én,1
cạn khan,cạnồ khan,1
trộm nghe,ôtrộm nghe,1
bàn thang,bàn thng,1
ràng rịt,àngế rịt,2
dấu chấm lửng,dấó chấm lửng,1
chim gõ mõ,chim gõ ymõ,1
run rẩy,rn rẩoy,2
đồng khoá,đồmẩ khoá,2
máy nước,meưáy nước,2
tăng-phô,tăn-ph,2
lòng vòng,lòng vòg,1
hoà nhã,hojã nhã,2
ắc-xi-đăng,c-xi-đăng,1
ăn lấy ăn để,ănlấy ăn ể,2
artel nông nghiệp,artel tnông nghip,2
lực lượng sản xuất,lự lượng sảnô xuất,2
chềm chệp,cẹởềm chệp,2
chơi diều đứt dây,chơi điu đứt dây,2
hiếu học,hiế học,1
vỗ ơn,ỹvỗ n,2
buông lửng,uông alửng,2
ngọt ngào,ngt ngo,2
mồm cá ngão,mồm cởá ngão,1
Vân Phúc,Vân ỷhúạ,2
tự vẫn,tự vỡn,1
nhún nhường,nhún nhườụg,1
kip,kiộơ,2
bảo an đoàn,bảo iễan đoàn,2
ma ra tông,maurk tông,2
rút ruột tơ tằm,rú ruột ụơ tằm,2
cưỡng hôn,ưỡng hôn,1
sạch như li như lai,sạcôh như li như lai,1
Yên Cư,ên ýư,2
băng nâng,ăng nâg,2
Quy Mông,Quyông,2
buồn rười rượi,buồn zrưbời rượi,2
tranh,trh,2
Thịnh Lộc,hịns Lộc,2
có kiêng có lành,có kiởg có lành,2
chen,ìchen,1
rảnh,rảơh,1
pho-xép,phojoxép,2
bòng chanh,bòn chanh,1
một đêm nằm một năm ở,một đêm nằm ụột năm ở,1
đưa tin,đưatinớ,2
Đoan Dương,Đoan Dơng,1
bổ nháo bổ nhào,bổù nháoébổ nhào,2
a-zốt,-ỵzốt,2
đồ đệ,đéồ đệ,1
ni trưởng,nyi trưởng,1
nhiễu sự,nhiễu sựf,1
củ đao,củ êđao,1
cầm thú,cầm tữhú,1
đá móng,đámóng,1
rau củ khởi,rfu củ ẻhởi,2
lim sẹt,lim t,2
thân,ịthỡân,2
suốt lượt,suốt ổợt,2
áo cối,á cối,1
một cổ đôi tròng,một cổ đi tròg,2
xương thịt,xươnk thịt,1
Chư Pả,ChưỵPả,1
bỏ mồi bắt bóng,bỏ mồi bắ bóng,1
trất mấu,tỷrấ mấu,2
Tân Phú Thành,Tân Phe Thànhè,2
làm gió làm mưa,làm giólàm mưpa,2
sức ì,sứỉ ì,1
làm,lằm,1
luộm thà luộm thuộm,luộmị thà luộm thuộm,1
đứt bữa,đứẩbữa,2
trắc quang học,tlắc qtang học,2
du dân,d dừn,2
nứt toác,nứt touác,1
thượng lộ bình an,thượng ăộ bình a ,2
sàn nhảy,sàn ãnhảq,2
đối số,đôối s,2
bàn ren,bàn re,1
bùa hộ mệnh,bùa hộ mệh,1
nghệ nghiệp,nghỹ ngiệp,2
canh ki na,canh k nờa,2
đồng hồ quả lắc,đồnâ ồ quả lắc,2
bạu mặt,bu mặt,1
xiêu xiêu,xiẽ xiêu,2
vẽ chuyện,vẽ huyệủ,2
chánh tổng,chánh tổngp,1
nốp,p,2
bở hơi tai,bở hơ ta,2
trấn an,tấn aná,2
một đôi,ộtđôi,2
xoè,oèậ,2
nhà văn hoá,lhà văn hoá,1
trết trát,trết tráả,1
bụng làm dạ chịu,bg làm dạ chịu,2
lú ruột lú gan,âlú ruột l gan,2
thị tì,thịêtì,1
giun lươn,gin lươn,1
Bồng Lai,Bồ ng Lai,1
dận ga,dậnqga,1
cội nguồn,cộội ễnguồn,2
hoa trôi bèo giạt,hoa trôi bèừ giạt,1
cố định,cứđịnh,2
mắt đỏ như mắt cá chày,mắt đỏ như mắt cá hày,1
xoành xoạch,xoànxhếxoạch,2
ứng tác,ứng tálà,2
trang lá nước,trang lá nước,0
nhon nhỏn,nhon nhỏn,0
tĩnh mạch học,tĩnh mnch học,1
lẩn quẩn,lẩò quẩn,1
đổi giận làm lành,ìổi giận làm lành,1
giấc mộng dương đài,giấc mộng dươngđài,1
chấn song,cấn osong,2
ve vẩy,e vẩy,1
đại dụng,đạiãdụng,1
khẩn khoản,kẩn khoảũn,2
đi vòng,đi vònvg,1
nghiêm lâu,nghiêm ĩlâu,1
thương chánh,tằhắơng chánh,2
truy tìm,truyp tìạm,2
sai dịch,ứai ựịch,2
hết sạch,hết sạc,1
nhằng nhịt,nằngnhịt,2
ỉa táo,ỉa tộáo,1
hùng vĩ,ỳhùng vĩ,1
choe choét,chốoe choét,1
ngoặt ngoẹo,ngoặt ngẹo,1
phải cái,phải cá,1
khác,hhôác,2
nợ tiền kiếp,nợ tiền kgếp,1
cánh giống,cnh giốg,2
đúng giờ,đúng gò,2
bẹ chuối,bẹễhuối,2
suy tị,suy ểịc,2
muôn kiếp,muônkiếp,1
lành da,àênh da,2
chất đốt,chấtò đốt,1
Chương Mỹ,Chơnớ Mỹ,2
tiểu liên,tiểu lin,1
chí choé,chởí hoé,2
axeton,axetoãn,1
tám dã,tỳm dã,1
phó thường dân,phó thườnẻg dân,1
chinh phụ,chinư phụ,1
điểm cao,điểm ẹcao,1
rắm rít,wắmrít,2
gia cường,gia ưng,2
dứa,a,2
chí từ,chí t,1
chiến lược quân sự,chiếg lượcquân sự,2
quí phái,quíùphi,2
móm mém,móắ mém,1
xùy,úy,2
đức năng thắng số,đức năng thắòng số,1
trớ trêu,grớẵ trêu,2
Xuân Hội,Xuâ Hi,2
may-so,mayụ-so,1
ách vận,ẩằch vận,2
dây li tâm,dâyli tâm,1
sau cùng,wsau ùng,2
tiệt trùng,xtdiệt trùng,2
đêm có khuya ngày có rạng,đêm có khuya noày có ơạng,2
suy sụp,susụp,2
lỗ khí,flỗù khí,2
chưởng bạ,chưổng bạ,1
tính sổ,tínhsổẽ,2
không phép,không sphép,1
dược thư,ược thư,1
Vĩnh Đại,ễĩnh Đại,1
Tuyên Bình Tây,TuyêờBình Tây,2
nồi hơi,nồ hi,2
rà,ằ,2
ôm-lét,ôm-lét,0
quy tì,quỗyỹtì,2
rau trai,au trai,1
ngôn,ớgôq,2
ngộ sát,ngộộsát,1
rau chiên,rau chêk,2
dân số học,dân số hụọc,1
khác thể,khác thểố,1
Thạch Xuân,Thạợch Xun,2
Bạch Đích,Bạcừ Đíấch,2
bệnh kinh niên,bệnh kiỷnh xiên,2
mồ hôi muối,mồè hôi ờmuối,2
oai,ộaời,2
a giao,ổa giao,1
đàn thùng,àn thùng,1
sạm mặt,àạmớ mặt,2
chữ viết,ũhữ viết,1
en-tơ-ro-pi,en-t-ro-pi,1
như mặt trăng mặt trời,như mặt trăng ỷặttrời,2
khét lèn lẹt,khét lèn ýlẹt,1
lượt thượt,lưt thượt,1
a-trô-pin,a-trô-in,1
tiểu hồi,tiểu ồi,1
chú trọng,chú trvọèng,2
còn nước còn tát,còn nước còn tá,1
thu hồi,thu hồấ,1
cán táu,cám táịu,2
ĩnh ương,ĩnh ưzngỵ,2
xương gót,xươngk gót,1
cuộn tròn,cuộn ẳòn,2
nhà rạp,nhà rgạp,1
hội đồng nhà nước,hãội đồng nhà nước,1
hoá lỏng,hoálng,2
nghị trường,nhị trường,1
chén mừng,chén mừn,1
Bạch Xỉ,Bạch ỡỉ,1
sông ngân hà,sông ngân h,1
giấy hoa tiên,giếy hoa tiê,2
sâm nhung,sâm nhấng,1
tột bậc,ột bậx,2
giô,úgiô,1
ngậm ngùi,ngậẹỡ ngùi,2
huyết tộc,huyếto tộc,1
cung đình,cung đìch,1
đại đoá,mại hđoá,2
xé tan,xé tảêan,2
thể dịch,tềể dịch,1
củ năn,cềủ năn,1
hô ngữ,xô ễgữ,2
Quốc Việt,áQuốc Vit,2
Bến Cầu,Bến Cầuễ,1
thống sứ,thốấg sứ,1
phụ phí,ỗhụ hí,2
chó xù,chêoó xù,2
xói mòn,ói hòn,2
Quang Châu,Quarg Chu,2
lẹm cằm,lm cỳằm,2
tập tục,tập btụct,2
đối với, ối vi,2
ngôn ngữ tự nhiên,ngôn ngữ ềự nhiên,1
tai bèo,tai èo,1
đỉnh cao,đỉnh caoí,1
hiền hậu,hiềnữhậu,1
xử trảm,xử ừtrảm,1
kết tục,kế tẩc,2
da đỏ,ăa đỏ,1
toàn văn,toàn ývăn,1
hoét,hoétờ,1
tử,tiử,1
ắng lặng,ắng lặn,1
qua mặt,ỏqua mặt,1
hương,hưng,1
bét ra,báét ra,1
ông hoàng bà chúa,ông hoễàng bà chúa,1
mã thượng,mã thỏợng,1
Sơn Long,Sơnè Long,1
bệnh xá,bệnh xẻ,1
quốc pháp,quốcrpháp,1
thẳng phép,thẳng phùép,1
dởm,ởỳm,2
xin cưới,xin cướởi,1
ba chân bốn cẳng,ba chân bố cng,2
Vô Tranh,Vô Trĩnõ,2
băng xiên băng nai,băgỉ xiên băng nai,2
đinh ghim,đinhễghim,1
trưởng phòng,trởg phòng,2
rầu rĩ,rầuĩ,2
nhất hô bá ứng,nhất hô bceá ứng,2
chửi mèo quèo chó,chửi mèo quèo ửchó,1
thổi mòn,thổi mò,1
tận tuỵ,ợậưn tuỵ,2
bạch thủ,bảh thủ,2
tối đất,ti aất,2
đon đản,đoỷn đn,2
một niềm,một niềm,0
gay gay,gayègay,1
cân kẹo,cân ẹo,1
chế ngự,ẻhế nợgự,2
hàng loạt,hàngloạt,1
mạch-lô,mạchếlô,1
cá rô thia,ụcá ô thia,2
bất sinh bất diệt,bất sinh ìbất diệt,1
Thượng Nông,hượng Nông,1
thu lu,thuằ lu,1
vắng mặt khuất lời,vng mặt khuất lời,1
niêm,nicm,1
thố,ố,2
hung hăng,hềngd hăng,2
trấn tĩnh,trấntĩnh,1
cứt lợn,cứt lợx,1
Ba Tơ,Bđ ơ,2
câu cú,cđâu cú,1
bầu bí,wầubí,2
lem luốc,âle luốc,2
ngoại dương,ngoạưi dương,1
lão ông,lứo ng,2
công cô,công ạắ,2
cửa ngỏ,cửangỏ,1
răng bừa,răng ba,1
Sao Đỏ,Săaoữ Đỏ,2
thôn dã,thôả dã,1
địa cầu,địẽaấcầu,2
giấy nhám,geiấy nhá,2
đèn kéo quân,đènẹkéoquân,2
tân trào,tn rào,2
anh lùn xem hội,anh lùn xem ội,1
tuần dương hạm,tuần dương ạm,1
hiệu trưởng,hiệắ trưởng,1
lưu,lu,1
cấp độ,cấyồp độ,2
khâu nhíu,kh nhíu,2
Thiệu Giao,Thệu Giao,1
chòng chành,chònvg chànăh,2
cửa liếp,cử lếp,2
thầy số,thầt số,1
ma trơi,ma trơi,0
miền,miềnú,1
hờn dỗ,zờnì dỗ,2
quốc phú binh cuờng,quốc phúô binq cuờng,2
dấu mũ,ằdấu mũ,1
quốc thù,qốc thù,1
kiệm lời,kiệộồ lời,2
dạn nắng dạn sương,dạn nắg dạn sương,1
thể nền,thểịnền,1
queng quéc,qếueng quéc,1
CNTB,CNTộB,1
nhảy lò cò,nhảy ởlòcò,2
đấu tranh giai cấp,ấ tranh giai cấp,2
cấm tiệt,cấ ztiệt,2
xe đạp,xeắạp,2
Khâm định Đại nam hội điển,Khâm định Đại nam hội đển,1
minh oan,minh oa,1
hội ngộ,hộ ngắộ,2
lệnh muội,lệnh muộ,1
Vạn Kiếp tông bí truyền thư,Vạn Kiếp tônị bí truyền thư,1
phương tiện thông tin đại chúng,ậphương tiện thônghtin đại chúng,2
vẫy,vẫh,1
qua mâu,ĩqua mâu,1
xẩm xoan,xẩm xoaỡn,1
hình nón,hềnh nón,1
treo gương,treo  ương,1
cà lăm cà lắp,cà lăm cà rắp,1
tự khử khuẩn,tyự khử khuẩn,1
nghịch phách,nhịch phách,1
ích hữu,ích hữ,1
ỡm,m,1
bầu dục,õbầu dục,1
"ăn bữa trưa, lo bữa tối","ăn bữa trưa, loị bữa tối",1
công cáo ủy viên,công áo ủy viên,1
tính nhẩm,tính hẩm,1
photphorit,phothoơrit,2
cây cỏ,cây ỏ,1
dai sức,dai óức,1
sóng to gió cả,sóng to gió cũ,1
khái tính,kh iưtính,2
củi chôm,cwủichôm,2
ăn hại,ă hại,1
vô thủy vô chung,vôờthủy vô chuyg,2
nỡm,nỡâ,1
thân sinh,thân sinv,1
mai kia,ma kia,1
giường cao chiếu sạch,giường cao chiếu ổsạch,1
dâm dục,âẫ dục,2
hạ tần,hạ tầno,1
bột giấy,bộỉ giấy,1
đẫy túi,đyẫắ túi,2
phản cảm,phản cảmâ,1
kỉ,kè,1
phân giác,phn giá,2
rệp sáp,rệỵsáp,2
hoá vàng,hýávàng,2
thoái thủ,thẩi thủ,2
tú,t,1
giấc vu sơn,giấc vô sơn,1
xương bả vai,xương bảề vai,1
đất đỏ,đất đỏễ,1
mỗi tội,mỗitội,1
pháp đình,póáp đình,1
xôi,ô,2
Chiêm Hoá,Chiêm Ho,1
bộ sáu,bộnsáu,1
nghìn tứ muôn chung,ghìn tứ muôn chung,1
môtip,mtip,1
giòn giã,giògiã,2
giảm đẳng,gỗm đẳng,2
rể,,2
bòn của,ỉũn của,2
vi ảnh,ại ảnh,1
Cạnh Nậu,Cũnỷ Nậu,2
vú chũm cau,vú cým cau,2
bánh khoái,bnh khoáã,2
Chánh Hội,Chánẳ Hội,1
nên chăng,năờ chăng,2
võ nghệ,võ ngệậ,2
lật lẹo,ật lẹo,1
kế tự,kế ựtự,1
mừng công,mựừng côdg,2
hội đồng đề hình,hội đồng đề hỗnhạ,2
phân nhiệm,phân nhừiệm,1
đồng bọn,đồng n,2
i-tan,i-tax,1
rau lấp,rừau lấp,1
làm trò,làứmitrò,2
mùi hôi,m hôi,2
dải ngân hà,di ngân hà,1
khọm,khxàm,2
bè he,bbèw he,2
hoi sữa,hoi sa,1
bã,b,1
địa khoán,địa khon,1
khinh người như rác,khùinh người như rác,1
Ba Chúc,Ba Chỷúc,1
cảnh trí,cảnzh ltrí,2
nhân nào quả ấy,nhâ nào quả ấy,1
cụ nội,ựụ nộiẩ,2
bảng tổng sắp,bản tổng sp,2
xốp xáp,xốp xám,1
lẳng khẳng,lẳnũ khẳng,1
cơm nắng,cỏơ nắng,2
tiền án,èiề án,2
phuy,puy,1
video,vidpo,1
lặng móc,lặgỹmóc,2
vạ,vởạ,1
chín trùng,cun trùng,2
một và,mộ và,1
Vị Tân,ẹịTân,2
chằm chặp,lchằm chặp,1
ừ è, è,1
nhất nguyên,nhất gnguyên,1
bấy thuở,bấy thổờở,2
Thài Phìn Tủng,Tộà Phìn Tủng,2
đại liên,đại liê,1
ngành,ành,2
khom,khẽ,2
đỡ dậy,đỡ ậy,1
ăn thủng nồi trôi rế,ăn thủng nồi trôđ rế,1
bông luồi,abông luồói,2
chuyển đổi,chuyể đjổi,2
Vạn Trạch,Vạnự Tớrạch,2
khi dể,hi dể,1
đắm mình,đắm ỡmình,1
mèo hoang lại gặp chó hoang,mèo hoang ại gặp chó hoaợng,2
sởn,sớn,1
màn ảnh rộng,màn ứnh rộng,1
trị sở,gtị sở,2
rấm,ầấm,1
huyện uỷ viên,hyệnuỷ viên,2
pa-nen,pka-nen,1
nắm tận tay day tận mắt,nắm tận taỹ day tận mắt,1
cưới vàng,cưừiẹ vàng,2
chơn,crửn,2
quái lương xế,qui ọương xế,2
hiểu ngầm,hiể ngầm,1
ghẻ cóc,ghẻếìcóc,2
đi đời,đi i,2
phẩm hàm,phẩm hom,1
cứu viện,cứuổviện,1
hàng khô,hàn kh,2
lập pháp,lập ểphápỷ,2
từ đầu,từ u,2
thưa,tưa,1
kinh cụ,ukinh cụ,1
hải tảo,hi tảo,1
quả học,quợảữhọc,2
i-ôn hoá,i-ôn hoáq,1
quốc đảo,quốc đo,1
thiết bị ngoại vi,thiết bị ngoứifvi,2
méo xệch,méo xệcỗhỳ,2
Tiền Tiến,Tiền ếến,2
nằm gai nếm mật,nằm ga nếm mt,2
người ta là hoa đất,gười tầ là hoa đất,2
tởn,tởnể,1
nứt bụng,nứt bềg,2
xảo diệu,xẻo diệu,1
cấy cày,cấy cà,1
động vật nguyên sinh,động vật nạguyên sinấh,2
cung ứng,cungzứn,2
hoạ chăng,hoạ ễhănjg,2
cự phách,ửcự phách,1
anh túc,aàh túc,1
"giàu vì bạn, sang vì vợ","giàu vì bạn, angấ vì vợ",2
thừa dịp,athừadịp,2
cậu lậu bình vôi,cậu lậu bình vô,1
nhỡn tiền,ụnhỡntiền,2
tả dực,tả dpực,1
chảy thây,chcy thây,1
đi khỏi,đifkhỏi,1
chổi góp,chổ gó,2
báo hiệu,báo hệậu,2
nhốt,nhêt,1
bọ dừa,bọ a,2
hình ảnh,hìn ảh,2
cá chết vì mồi,cá cưết vì mồi,1
gieo,geoặ,2
ăn ngập mặt ngập mũi,ăn ngp mặt ngập mũi,1
lịu,lu,1
cắn hạt gạo không bể,cắn qhạt gạo không bể,1
giậu nát chó ỉa,giậu ná chó ỉa,1
tắm gội,tắớỡ gội,2
tuấn sĩ,tuấn sĩt,1
dục dặc,dục ặc,1
ram rám,raẹm rám,1
áo lông, lông,2
hậu kì,hậ kì,1
cầu hôn,cầu hôấn,1
ngấm ngầm,ngùm ngễm,2
Tiêu Sơn,Tiêu òăSơn,2
đá trụ,đ trụ,1
ngồi làm vì,nồilàm vì,2
một chạch không đầy đầm,một chạch không đy đầm,1
bão,ã,2
cái miệng hại cái thân,cái miệng hbi cái hân,2
chễnh chện,chễnhb chệ,2
Thạch Ngọc,Thạcht Ngc,2
ngồi chềm bệp,bngồi chềm bệp,1
động từ,độnểg từ,1
trà dư tửu hậu,ằtrà dư tửu hậu,1
ga-li,gatli,1
hiếp bức,hiếp bộc,1
xa xả,x xẻ,2
con trưởng,coền trưởng,1
có mồng có mỏ,có mồnù có mỏ,1
ngũ bá,nẩũ bá,1
quân địch,quâ đch,2
phòng tối,phòg tối,1
quầy quả,quầ ẵuả,2
sượng,sbượg,2
tỉnh,tợỉõnh,2
hậu Trần,hậ rần,2
tinh nghịch,tnh nghịch,1
Thác Mơ,Thvc Mơ,1
trung lưu,trungi lưu,1
đàn cầm mà gẩy tai trâu,đàn cầm mà gẩy tav trâu,1
đại thắng,đạ thắng,1
đường rạn,đườg rn,2
cung hỉ,cunắgp hỉ,2
tay nải,tau nải,1
như giội gáo nước lạnh,như giội gáo nước ĩạnh,1
đuôi én,đui énp,2
lộng óc,lộng c,1
gan vàng dạ sắt,ẳgan ivàng dạ sắt,2
hiếu kính,hiếukíno,2
phú gia,phú giìa,1
Bắc Thuỷ,c Thuỷ,2
lăn cổ,lnặ cổ,2
Mđhur,Mđhur,0
bá chiếm,ịáchiếm,2
phạm huý,phvạým huý,2
hồn lìa khỏi xác,hồn lịìa khỏi xác,1
bằng lăng,bằng lung,1
trung văn,trung văvn,1
luận điệu,luận ẳiệu,1
thiên môn đông,thiênỡmôn đáng,2
ô-tô ca,ô-tữ caặ,2
canh giờ,can giũờ,2
òa,ò,1
vai gánh tay cuốc,vai ginh tay cuốc,1
bán lẻ,bján lểẻ,2
khóc oà,kởóc oàã,2
chiết tự,chừiết tự,1
đánh khăng,đáh khăng,1
nhởn nha nhởn nhơ,nhởn ha nhởn nhơ,1
sụn mí,úsụn mrí,2
cùng bất đắc dĩ,cùng bất đâc dĩ,1
già đời còn chơi trống bỏi,già đời còn chơi trốỹng bỏi,1
óc bè phái,óẻ bè phái,1
đợp,ịđợp,1
xứ sở,xứở,2
tóc tai,tóc ụẻai,2
tênh tênh,tênhgtênt,2
giải tích hàm,gii tích hếm,2
đặc thù hóa,đặc thỉù hóa,1
đông đúc,đông aúc,1
đan xen,đan xẩn,1
giùi,gùi,1
sặc sặc,shc ặc,2
rôm,rm,1
bãi rác,bựãi rùác,2
Tu Lý,ấ Lý,2
nhà đương chức,nhà đưng chức,1
Tây Bình,Tây ìnì,2
vườn bách thú,vườn báchtếú,2
hạn bông tranh,hạn bôg tranh,1
vừa nãy,vũa nãy,1
từ kiêng kị,từ kênũg kị,2
phụ đề,phb đề,1
nội nguyên tử,nộiẻnguyên gử,2
trùng máu,tùng máuq,2
ăn như hộ pháp cắn trắt,ănỏ như hộ pháp cắn trắt,1
tổng quân ủy,tổng quâởn ủy,1
cát sự,cát dsự,1
bất cố lai vãng,baất cố lai vãng,1
thu hoạch,thă  hoạch,2
mấy lăm,mđấy lăm,1
ôi,ôủu,2
Cái Rồng,CáiRồng,1
đám bạc,đás ặbạc,2
tối mò,ti áò,2
bụi trần,bụi tầnử,2
hiếu phục,hiếu hục,1
khuỷu,ẵhuỷu,1
cho cái,chy cái,1
ở năm,ở n,2
tiền đề,tiẵ đề,2
con đúm,on đúm,1
miệng,miệnô,1
cổ-dề,cổ-dgề,1
đoàn lạp,đoàu lạp,1
liên minh,liên ớinh,1
đẳng hiện,đẳngủhiện,1
trở gót,ờrở gồót,2
liêm phóng,liêm phóừg,1
đàn ống,đàn ốịng,1
thám hiểm,thámhiểm,1
tổ cha,ẽổ cga,2
chào xáo,ịchào xáo,1
mào gà đuôi lươn,mào gàứđuôềi lươn,2
sạch tiếng,qửạch tiếng,2
